original_type	suggested_type	chebi_id	chebi_name
pathway	complex	38497	respiratory-chain inhibitor
pathway	complex	23529	cytochrome-b6f complex inhibitor
pathway	complex	38499	mitochondrial cytochrome-bc1 complex inhibitor
pathway	complex	141153	quinone outside inhibitor
pathway	complex	38499	mitochondrial cytochrome-bc1 complex inhibitor
pathway	family	20854	ATP synthase inhibitor
pathway	family	79386	glycerophosphoinositol synthesis inhibitor
pathway	family	38498	mitochondrial NADH:ubiquinone reductase inhibitor
none	pathway	88230	autophagy inhibitor
none	pathway	68494	apoptosis inhibitor
none	pathway	78031	Wnt signalling inhibitor
none	pathway	63173	T-cell proliferation inhibitor
